"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
6,15291,"Ruha","sárga",1,"XL"
6,15291,"Ruha","zöld",1,"L"
2,15291,"Ruha","zöld",1,"M"
6,15291,"Ruha","zöld",1,"S"
7,15291,"Ruha","zöld",1,"XL"
1,15291,"Ruha","zöld",2,"M"
1,15291,"Ruha","zöld",2,"S"
2,15292,"Kabátka","sárga",2,"L"
1,15292,"Kardigán","kék",1,"L"
1,15292,"Kardigán","kék",1,"M"
1,15292,"Kardigán","kék",2,"S"
1,15292,"Kardigán","sárga",1,"M"
1,15292,"Kardigán","sárga",1,"S"
2,15292,"Kardigán","sárga",1,"XL"
3,15292,"Kardigán","zöld",1,"L"
1,15292,"Kardigán","zöld",1,"M"
5,15292,"Kardigán","zöld",1,"S"
1,15294,"Szoknya","fehér/kék",2,"L"
1,15295,"Top","fehér",1,"M"
4,15295,"Top","fehér",1,"XL"
1,15295,"Top","kék",1,"XL"
2,15297,"Ruha","barna",1,"L"
5,15297,"Ruha","barna",1,"XL"
3,15297,"Ruha","rózsaszín",1,"XL"
1,15298,"Kardigán","barna",1,"M"
1,15298,"Kardigán","barna",1,"S"
8,15303,"Ingmellény","piros",1,"2XL"
5,15303,"Ingmellény","piros",1,"3XL"
2,15303,"Ingmellény","piros",1,"L"
4,15303,"Ingmellény","piros",1,"M"
4,15303,"Ingmellény","piros",1,"XL"
5,15303,"Ingmellény","s.kék",1,"3XL"
3,15303,"Ingmellény","s.kék",1,"XL"
3,15304,"Póló","fehér",1,"L"
2,15304,"Póló","kék",1,"M"
1,15304,"Póló","sárga",2,"S"
1,15305,"Kardigán","fehér",1,"L"
1,15305,"Kardigán","fehér",1,"M"
1,15305,"Kardigán","lila",1,"M"
1,15305,"Kardigán","lila",2,"S"
2,15305,"Kardigán","sárga",1,"S"
1,15312,"Pulóver","fekete/fehér",2,"XL"
1,15327,"Ruha","fehér",2,"L"
2,15327,"Ruha","fehér",2,"S"
1,15344,"Ruha","fekete",2,"L"
1,15347,"Pelerin","kék/fekete",2,"M"
1,15373,"Pulóver","csíkos",2,"XL"
1,15374,"Pulóver","s.kék",2,"2XL"
7,15375,"Nyakkendő","nemzeti",1,"egy méret"
5,15375,"Nyakkendő","piros/türkiz",1,"egy méret"
19,15375,"Nyakkendő","sárga/piros",1,"egy méret"
1,15375,"Nyakkendő","sárga",1,"egy méret"
9,15375,"Nyakkendő","zöld/piros",1,"egy méret"
2,15387,"Garbó","s.kék",2,"2XL"
1,15387,"Garbó","s.kék",2,"L"
2,15387,"Garbó","s.kék",2,"M"
1,15387,"Garbó","s.kék",2,"XL"
69,15393,"Nyakkendő","piros",1,"egy méret"
1,15393,"Nyakkendő","piros",2,"egy méret"
